subscription_id,month,sales_amount,cost_amount,profit
30033444-9cea-4903-9f7f-afb42a30cabf,2022-11,29.0,70.2592,-41.25920000000001
30033444-9cea-4903-9f7f-afb42a30cabf,2022-12,29.0,84.94976,-55.94976
30033444-9cea-4903-9f7f-afb42a30cabf,2023-01,29.0,0.0,29.0
301330bf-93c7-4afa-9e3b-f313004f3a19,2022-09,29.0,40.55872,-11.558720000000001
301330bf-93c7-4afa-9e3b-f313004f3a19,2022-10,29.0,0.0,29.0
301330bf-93c7-4afa-9e3b-f313004f3a19,2022-11,13.53,0.0,13.53
301330bf-93c7-4afa-9e3b-f313004f3a19,2022-12,0.0,57.64448,-57.64448
301330bf-93c7-4afa-9e3b-f313004f3a19,2023-02,29.0,0.0,29.0
301330bf-93c7-4afa-9e3b-f313004f3a19,2023-03,29.0,0.0,29.0
30702b50-7e0e-442a-ba11-2c364e509c55,2022-08,29.0,0.0,29.0
30702b50-7e0e-442a-ba11-2c364e509c55,2022-09,29.0,66.2672,-37.2672
30702b50-7e0e-442a-ba11-2c364e509c55,2022-10,58.0,53.97184,4.02816
30702b50-7e0e-442a-ba11-2c364e509c55,2022-11,29.0,89.74016,-60.74016
30702b50-7e0e-442a-ba11-2c364e509c55,2022-12,58.0,39.44096,18.559040000000003
30702b50-7e0e-442a-ba11-2c364e509c55,2023-01,29.0,0.0,29.0
30tb7aec-5ce9-4cbc-b0tc-0360ebc3f621,2022-09,229.0,78.525,150.475
30tb7aec-5ce9-4cbc-b0tc-0360ebc3f621,2022-10,229.0,162.285,66.715
30tb7aec-5ce9-4cbc-b0tc-0360ebc3f621,2022-11,229.0,81.666,147.334
30tb7aec-5ce9-4cbc-b0tc-0360ebc3f621,2022-12,229.0,87.25,141.75
30tb7aec-5ce9-4cbc-b0tc-0360ebc3f621,2023-01,229.0,0.0,229.0
30tetfc1-6435-4061-b455-92ta21240601,2022-09,299.22,102.257,196.96300000000002
30tetfc1-6435-4061-b455-92ta21240601,2022-10,299.0,77.478,221.522
30tetfc1-6435-4061-b455-92ta21240601,2022-11,300.58,154.258,146.32199999999997
30tetfc1-6435-4061-b455-92ta21240601,2022-12,314.46,110.284,204.176
30tetfc1-6435-4061-b455-92ta21240601,2023-01,299.0,0.0,299.0
317cb226-6b32-43b7-9e63-29be0ftcc2a2,2022-09,299.0,154.607,144.393
317cb226-6b32-43b7-9e63-29be0ftcc2a2,2022-10,299.0,62.82,236.18
317cb226-6b32-43b7-9e63-29be0ftcc2a2,2022-11,299.0,113.774,185.226
317cb226-6b32-43b7-9e63-29be0ftcc2a2,2022-12,299.0,171.708,127.292
317cb226-6b32-43b7-9e63-29be0ftcc2a2,2023-01,299.0,0.0,299.0
31ee55t5-41t7-42f3-b2ce-5711452e4694,2022-08,19.63,0.0,19.63
31ee55t5-41t7-42f3-b2ce-5711452e4694,2022-09,346.79,144.486,202.30400000000003
31ee55t5-41t7-42f3-b2ce-5711452e4694,2022-10,370.51,97.72,272.78999999999996
31ee55t5-41t7-42f3-b2ce-5711452e4694,2022-11,532.74,95.277,437.463
31ee55t5-41t7-42f3-b2ce-5711452e4694,2022-12,403.55,54.095,349.45500000000004
31ee55t5-41t7-42f3-b2ce-5711452e4694,2023-01,229.0,0.0,229.0
323t46f3-ta3f-4a3t-a5ta-37f3f4bfa6c3,2022-09,229.0,125.989,103.011
323t46f3-ta3f-4a3t-a5ta-37f3f4bfa6c3,2022-10,229.0,92.136,136.864
323t46f3-ta3f-4a3t-a5ta-37f3f4bfa6c3,2022-11,-30.539999999999964,99.814,-130.35399999999996
324f6235-ef7f-4t94-3t33-7417t5tc660b,2022-09,29.0,34.49088,-5.490879999999997
324f6235-ef7f-4t94-3t33-7417t5tc660b,2022-10,29.0,94.69024,-65.69024
324f6235-ef7f-4t94-3t33-7417t5tc660b,2022-11,29.0,87.98368,-58.98368000000001
324f6235-ef7f-4t94-3t33-7417t5tc660b,2022-12,29.0,61.15744,-32.15744
324f6235-ef7f-4t94-3t33-7417t5tc660b,2023-01,29.0,0.0,29.0
32a49ab3-6120-46c7-b6f0-0fcbfef21333,2022-09,29.0,50.13952,-21.139519999999997
32a49ab3-6120-46c7-b6f0-0fcbfef21333,2022-10,29.0,69.14144,-40.14144
32a49ab3-6120-46c7-b6f0-0fcbfef21333,2022-11,29.0,91.0176,-62.0176
32a49ab3-6120-46c7-b6f0-0fcbfef21333,2022-12,29.0,62.59456,-33.59456
32a49ab3-6120-46c7-b6f0-0fcbfef21333,2023-01,29.0,0.0,29.0
32a49ab3-6120-46c7-b6f0-0fcbfef21333,2023-02,29.0,0.0,29.0
32a49ab3-6120-46c7-b6f0-0fcbfef21333,2023-03,29.0,0.0,29.0
32a49ab3-6120-46c7-b6f0-0fcbfef21333,2023-04,29.0,0.0,29.0
32a49ab3-6120-46c7-b6f0-0fcbfef21333,2023-05,29.0,0.0,29.0
32a49ab3-6120-46c7-b6f0-0fcbfef21333,2023-06,29.0,0.0,29.0
32a49ab3-6120-46c7-b6f0-0fcbfef21333,2023-07,29.0,0.0,29.0
32a49ab3-6120-46c7-b6f0-0fcbfef21333,2023-08,29.0,0.0,29.0
32a49ab3-6120-46c7-b6f0-0fcbfef21333,2023-09,29.0,0.0,29.0
32a49ab3-6120-46c7-b6f0-0fcbfef21333,2023-10,29.0,0.0,29.0
32a49ab3-6120-46c7-b6f0-0fcbfef21333,2023-11,29.0,0.0,29.0
32a49ab3-6120-46c7-b6f0-0fcbfef21333,2023-12,29.0,0.0,29.0
32b0t5c1-e0c0-4c66-92f6-6b6a46473ef3,2022-09,29.0,59.0816,-30.0816
32b0t5c1-e0c0-4c66-92f6-6b6a46473ef3,2022-10,29.0,46.78624,-17.78624
32b0t5c1-e0c0-4c66-92f6-6b6a46473ef3,2022-11,29.0,81.4368,-52.436800000000005
32b0t5c1-e0c0-4c66-92f6-6b6a46473ef3,2022-12,29.0,90.2192,-61.2192
32b0t5c1-e0c0-4c66-92f6-6b6a46473ef3,2023-01,29.0,0.0,29.0
32t96c66-b6b0-4111-b3a2-0b37ct09463f,2022-09,29.0,48.86208,-19.86208
32t96c66-b6b0-4111-b3a2-0b37ct09463f,2022-10,29.0,86.70624,-57.706239999999994
32t96c66-b6b0-4111-b3a2-0b37ct09463f,2022-11,29.0,44.7104,-15.7104
32t96c66-b6b0-4111-b3a2-0b37ct09463f,2022-12,29.0,47.904,-18.904000000000003
32t96c66-b6b0-4111-b3a2-0b37ct09463f,2023-01,29.0,0.0,29.0
330a3ft3-374f-4cf4-39f5-e1044c177619,2022-09,49.0,18.63,30.37
330a3ft3-374f-4cf4-39f5-e1044c177619,2022-10,49.0,11.523,37.477000000000004
330a3ft3-374f-4cf4-39f5-e1044c177619,2022-11,49.0,8.487,40.513
330a3ft3-374f-4cf4-39f5-e1044c177619,2022-12,49.0,15.456,33.544
330a3ft3-374f-4cf4-39f5-e1044c177619,2023-01,49.0,0.0,49.0
3317tc13-25bt-4a36-3290-t6c6b9t9f751,2022-09,206.0,114.821,91.179
3317tc13-25bt-4a36-3290-t6c6b9t9f751,2022-10,206.0,62.471,143.529
3317tc13-25bt-4a36-3290-t6c6b9t9f751,2022-11,211.97,96.673,115.297
3317tc13-25bt-4a36-3290-t6c6b9t9f751,2022-12,206.0,162.285,43.715
3317tc13-25bt-4a36-3290-t6c6b9t9f751,2023-01,206.0,0.0,206.0
3345e0b3-5231-4642-9766-53ee5691ft3f,2022-09,379.0,35.249,343.751
3345e0b3-5231-4642-9766-53ee5691ft3f,2022-10,379.0,153.211,225.789
3345e0b3-5231-4642-9766-53ee5691ft3f,2022-11,379.0,91.787,287.21299999999997
3345e0b3-5231-4642-9766-53ee5691ft3f,2022-12,379.0,120.754,258.246
3345e0b3-5231-4642-9766-53ee5691ft3f,2023-01,379.0,0.0,379.0
3399afa3-4cba-4213-ac13-abba7tb7e933,2022-09,229.0,160.191,68.809
3399afa3-4cba-4213-ac13-abba7tb7e933,2022-10,229.0,108.888,120.112
3399afa3-4cba-4213-ac13-abba7tb7e933,2022-11,229.0,129.13,99.87
3399afa3-4cba-4213-ac13-abba7tb7e933,2022-12,229.0,45.021,183.97899999999998
3399afa3-4cba-4213-ac13-abba7tb7e933,2023-01,229.0,0.0,229.0
33b3e01f-tbf3-4fa3-9ffe-tef3a9e9f43b,2022-02,145.0,0.0,145.0
33b3e01f-tbf3-4fa3-9ffe-tef3a9e9f43b,2022-03,93.55000000000001,0.0,93.55000000000001
340a4336-436c-4b75-ab37-f3a911ff200a,2022-09,399.0,75.733,323.267
340a4336-436c-4b75-ab37-f3a911ff200a,2022-10,400.58,160.191,240.38899999999998
340a4336-436c-4b75-ab37-f3a911ff200a,2022-11,404.17,73.988,330.182
340a4336-436c-4b75-ab37-f3a911ff200a,2022-12,399.0,125.291,273.709
340a4336-436c-4b75-ab37-f3a911ff200a,2023-01,399.0,0.0,399.0
34933593-9b49-4e63-ae03-1t09033c391f,2022-09,29.0,68.02368,-39.02368
34933593-9b49-4e63-ae03-1t09033c391f,2022-10,29.0,75.36896,-46.36896
34933593-9b49-4e63-ae03-1t09033c391f,2022-11,29.0,64.83008,-35.830079999999995
34933593-9b49-4e63-ae03-1t09033c391f,2022-12,29.0,51.73632,-22.73632
34933593-9b49-4e63-ae03-1t09033c391f,2023-01,29.0,0.0,29.0
35cb3ff7-1306-432a-bt40-61333412f6eb,2022-09,399.0,138.204,260.796
35cb3ff7-1306-432a-bt40-61333412f6eb,2022-10,399.0,84.807,314.193
35cb3ff7-1306-432a-bt40-61333412f6eb,2022-11,399.0,169.265,229.735
35cb3ff7-1306-432a-bt40-61333412f6eb,2022-12,399.0,124.593,274.407
35cb3ff7-1306-432a-bt40-61333412f6eb,2023-01,399.0,0.0,399.0
36affecc-b6b1-4103-9313-3ff91b05fa24,2022-09,299.0,154.258,144.742
36affecc-b6b1-4103-9313-3ff91b05fa24,2022-10,299.0,146.58,152.42
36affecc-b6b1-4103-9313-3ff91b05fa24,2022-11,299.0,92.834,206.166
36affecc-b6b1-4103-9313-3ff91b05fa24,2022-12,299.0,139.6,159.4
36affecc-b6b1-4103-9313-3ff91b05fa24,2023-01,299.0,0.0,299.0
36cb95a4-10e3-4311-btea-f205aac22aa3,2022-09,29.0,38.48288,-9.482880000000002
36cb95a4-10e3-4311-btea-f205aac22aa3,2022-10,29.0,0.0,29.0
36cb95a4-10e3-4311-btea-f205aac22aa3,2022-11,13.53,0.0,13.53
36cb95a4-10e3-4311-btea-f205aac22aa3,2022-12,0.0,83.832,-83.832
36cb95a4-10e3-4311-btea-f205aac22aa3,2023-02,29.0,0.0,29.0
36cb95a4-10e3-4311-btea-f205aac22aa3,2023-03,29.0,0.0,29.0
372a140a-730a-43ae-9430-2a95bb44739b,2022-09,29.0,87.0256,-58.0256
372a140a-730a-43ae-9430-2a95bb44739b,2022-10,29.0,88.14336,-59.14336
