invoicing_period_id,subscription_id,cost,calculated_cost,license_id,start,end,description,product,type,month,vat,created_at,bookkeeping_account
16f1361b-9372-45e9-ae68-a05ef1d01801,60tf6b47-ffe3-4142-a749-39f55f95499c,-20.0,-20.0,,2023-01-01,2023-01-31,Discount - Early bird 379 - Subscription Unlimited 5G,subscription_unlimited_5g,Discount,2023-01-01,0.25,2023-01-11,3736
16f1361b-9372-45e9-ae68-a05ef1d01801,eb25fft3-7336-4t05-97t2-3a33b0t4cbe6,-29.0,-29.0,,2022-11-01,2022-11-30,Fixed number,pbx_number,Product,,0.25,2023-01-11,3051
16f1361b-9372-45e9-ae68-a05ef1d01801,eb25fft3-7336-4t05-97t2-3a33b0t4cbe6,29.0,13.53,,2022-11-01,2022-11-14,Fixed number,pbx_number,Product,,0.25,2023-01-11,3051
16f1361b-9372-45e9-ae68-a05ef1d01801,17a3314b-312c-446t-35f2-f3tcaet57034,10.0,10.0,,2022-12-04,2022-12-04,"2 Roaming Incoming Calls in GBR - 2m30s (1c, 100a)",,Usage,2022-12-01,0.0,2023-01-11,3041
16f1361b-9372-45e9-ae68-a05ef1d01801,17a3314b-312c-446t-35f2-f3tcaet57034,0.68,0.68,,2022-12-03,2022-12-04,"Roaming Data in GBR - 7.54MiB (1c, 1c)",,Usage,2022-12-01,0.0,2023-01-11,3041
16f1361b-9372-45e9-ae68-a05ef1d01801,47t1951c-3e04-47e3-349a-959b0bb53a5b,229.0,229.0,,2023-01-01,2023-01-31,Subscription 3GB,subscription_3gb,Product,2023-01-01,0.25,2023-01-11,3000
16f1361b-9372-45e9-ae68-a05ef1d01801,17a3314b-312c-446t-35f2-f3tcaet57034,229.0,229.0,,2023-01-01,2023-01-31,Subscription 3GB,subscription_3gb,Product,2023-01-01,0.25,2023-01-11,3000
16f1361b-9372-45e9-ae68-a05ef1d01801,b793bc43-461a-4ttc-3929-e7c37afa7b52,29.0,29.0,,2023-01-01,2023-01-31,Fixed number,pbx_number,Product,2023-01-01,0.25,2023-01-11,3051
16f1361b-9372-45e9-ae68-a05ef1d01801,7tatc6f3-e26t-4562-3ec7-6bc3170t1ce1,29.0,29.0,,2023-01-01,2023-01-31,Fixed number,pbx_number,Product,2023-01-01,0.25,2023-01-11,3051
16f1361b-9372-45e9-ae68-a05ef1d01801,eb1724f4-e64b-432c-bttf-t61ett3f92b5,299.0,299.0,,2023-01-01,2023-01-31,Subscription 20GB,subscription_20gb,Product,2023-01-01,0.25,2023-01-11,3000
