subscription_id,month,Cost
30033444-9cea-4903-9f7f-afb42a30cabf,2022-12-01,84.94976
56c4tc6c-ctc3-426c-3fb6-096ff42fbt2e,2022-12-01,155.654
56c4tc6c-ctc3-426c-3fb6-096ff42fbt2e,2022-12-01,121.103
cb1a1063-31cf-4aa2-b09e-7105b62fa3f6,2022-12-01,61.79616
0b233f41-6t2c-4a09-a543-afa630536f0e,2022-12-01,31.936
30702b50-7e0e-442a-ba11-2c364e509c55,2022-12-01,54.13152
30702b50-7e0e-442a-ba11-2c364e509c55,2022-12-01,39.44096
t410347a-772f-4a0t-a670-07741e2ee99a,2022-12-01,17.16
t410347a-772f-4a0t-a670-07741e2ee99a,2022-12-01,8.892
cac94bt2-9c3f-4c33-3f53-3t497e2a343t,2022-12-01,92.29504
12a1a723-0157-4ae7-bf37-3b4596047t93,2022-12-01,11.388
12a1a723-0157-4ae7-bf37-3b4596047t93,2022-12-01,19.344
12a1a723-0157-4ae7-bf37-3b4596047t93,2022-12-01,17.004
0693977f-3943-465f-b3b9-3b0c7f6c3e21,2022-12-01,45.37
0693977f-3943-465f-b3b9-3b0c7f6c3e21,2022-12-01,74.337
693f1b23-9c0t-4e95-a30f-99b244a7e9eb,2022-12-01,131.224
693f1b23-9c0t-4e95-a30f-99b244a7e9eb,2022-12-01,85.854
a2fbe594-7630-4tb9-9116-tf712a25a03e,2022-12-01,93.4128
70f71003-073e-443f-att2-40a7bb4004b1,2022-12-01,140.996
2b762aa6-fc5a-4034-9b72-32b93a34a062,2022-12-01,16.077
70f71003-073e-443f-att2-40a7bb4004b1,2022-12-01,58.283
2b762aa6-fc5a-4034-9b72-32b93a34a062,2022-12-01,13.455
a5tb05e0-3252-4tt4-9a56-4bcf0c945752,2022-12-01,45.5088
61e795f1-0fbf-42f1-90t5-e53762353t50,2022-12-01,66.2672
3f1ea67t-t6f1-4e23-9791-9ta36b7640bt,2022-12-01,84.15136
73t53c73-403t-4btc-91ab-fe5b3f69t5bt,2022-12-01,61.31712
53a5f13b-35f6-49at-9922-tc06a4172033,2022-12-01,74.2512
53a5f13b-35f6-49at-9922-tc06a4172033,2022-12-01,74.73024
73t53c73-403t-4btc-91ab-fe5b3f69t5bt,2022-12-01,70.89792
53a5f13b-35f6-49at-9922-tc06a4172033,2022-12-01,84.15136
73t53c73-403t-4btc-91ab-fe5b3f69t5bt,2022-12-01,58.76224
32a49ab3-6120-46c7-b6f0-0fcbfef21333,2022-12-01,62.59456
4e360ece-t3at-4725-ae14-95ca43b6f4e2,2022-12-01,94.69024
4e360ece-t3at-4725-ae14-95ca43b6f4e2,2022-12-01,91.17728
5161a2f7-32e5-4373-9675-3264b19b292f,2022-12-01,71.21728
94c3bc31-abat-44eb-9ct2-6ce3a9473ft2,2022-12-01,36.296
94c3bc31-abat-44eb-9ct2-6ce3a9473ft2,2022-12-01,120.754
195743fb-e3ba-4353-9b32-5003ft1fat94,2022-12-01,86.54656
2367607t-a634-410f-3a67-720ec63433ff,2022-12-01,49.66048
ae5193a0-et21-493e-b12t-aa42fefbe43b,2022-12-01,60.51872
tct7f1e6-5c91-425c-a0bf-5b4b31fc2901,2022-12-01,74.41088
750431f9-c24c-41t1-9b31-0a594c9052et,2022-12-01,32.41504
a1t59723-9cc9-4aa7-bbb2-550a33ebaaf4,2022-12-01,66.42688
214tc063-c7f1-40f3-bcae-77034eetat3c,2022-12-01,33.05376
59260t35-2993-4tbt-a35e-1ef4ca1c1ct4,2022-12-01,37.5248
59260t35-2993-4tbt-a35e-1ef4ca1c1ct4,2022-12-01,43.59264
59260t35-2993-4tbt-a35e-1ef4ca1c1ct4,2022-12-01,41.19744
fff7021t-35t1-4b33-3015-7747437t2704,2022-12-01,129.828
fff7021t-35t1-4b33-3015-7747437t2704,2022-12-01,86.203
ef2tc230-3ac6-41t2-aa15-2b375527tc2f,2022-12-01,46.068
ef2tc230-3ac6-41t2-aa15-2b375527tc2f,2022-12-01,156.701
76bee311-t330-49t4-379a-0993c3eb3420,2022-12-01,113.425
3317tc13-25bt-4a36-3290-t6c6b9t9f751,2022-12-01,165.077
76bee311-t330-49t4-379a-0993c3eb3420,2022-12-01,137.506
4ae537c0-b035-4622-3bf6-94e2694e6209,2022-12-01,88.94176
3317tc13-25bt-4a36-3290-t6c6b9t9f751,2022-12-01,162.285
e7ff5414-5ba3-4af5-b6f1-b1bcta60e10a,2022-12-01,92.13536
0066eba3-et5t-46c3-3t2e-3e69c5216173,2022-12-01,90.85792
cf733933-f233-450a-9b65-5f4t7331tae0,2022-12-01,36.56672
0366b1e3-fc43-479e-b9ce-333t3tf949b9,2022-12-01,81.59648
e0a43e3a-1243-4ea3-bc53-c79tta34c320,2022-12-01,41.67648
e0a43e3a-1243-4ea3-bc53-c79tta34c320,2022-12-01,77.28512
e0a43e3a-1243-4ea3-bc53-c79tta34c320,2022-12-01,53.33312
5b3ebe3t-c10b-47a3-9a25-91aa3792cce7,2022-12-01,47.115
5b3ebe3t-c10b-47a3-9a25-91aa3792cce7,2022-12-01,73.639
324f6235-ef7f-4t94-3t33-7417t5tc660b,2022-12-01,61.15744
51c7202a-bf3t-45ec-3331-033456477b6c,2022-12-01,41.5168
51c7202a-bf3t-45ec-3331-033456477b6c,2022-12-01,60.19936
51c7202a-bf3t-45ec-3331-033456477b6c,2022-12-01,42.79424
45eb7tba-f20c-43aa-bf39-c6fbce722ba7,2022-12-01,102.257
45eb7tba-f20c-43aa-bf39-c6fbce722ba7,2022-12-01,597.58
b4653c2b-b909-4a90-b99b-6f3t30c0b43f,2022-12-01,9.039
6505ccc7-73a3-435b-b2t3-ceaff33ccb13,2022-12-01,138.553
4aet207c-1259-4797-3426-1506215a7f23,2022-12-01,80.15936
f36ba953-43f5-40c5-3e24-6303ff0tc033,2022-12-01,89.89984
